CustomerID,Cluster
C0001,1
C0002,2
C0003,1
C0004,0
C0005,2
C0006,1
C0007,2
C0008,0
C0009,3
C0010,3
C0011,1
C0012,1
C0013,1
C0014,3
C0015,2
C0016,2
C0017,3
C0018,0
C0019,3
C0020,2
C0021,0
C0022,0
C0023,3
C0024,2
C0025,1
C0026,2
C0027,2
C0028,0
C0029,2
C0030,2
C0031,1
C0032,1
C0033,2
C0034,2
C0035,2
C0036,2
C0037,3
C0038,2
C0039,1
C0040,2
C0041,0
C0042,2
C0043,2
C0044,3
C0045,0
C0046,0
C0047,2
C0048,1
C0049,2
C0050,2
C0051,3
C0052,1
C0053,3
C0054,0
C0055,2
C0056,2
C0057,3
C0058,2
C0059,0
C0060,3
C0061,3
C0062,3
C0063,3
C0064,3
C0065,0
C0066,3
C0067,2
C0068,0
C0069,3
C0070,3
C0071,1
C0072,2
C0073,3
C0074,3
C0075,0
C0076,1
C0077,1
C0078,2
C0079,2
C0080,2
C0081,3
C0082,0
C0083,1
C0084,0
C0085,1
C0086,3
C0087,0
C0088,2
C0089,3
C0090,0
C0091,1
C0092,2
C0093,0
C0094,2
C0095,1
C0096,1
C0097,2
C0098,2
C0099,0
C0100,3
C0101,0
C0102,0
C0103,3
C0104,0
C0105,3
C0106,2
C0107,1
C0108,1
C0109,0
C0110,2
C0111,3
C0112,1
C0113,1
C0114,3
C0115,2
C0116,2
C0117,2
C0118,1
C0119,3
C0120,1
C0121,3
C0122,0
C0123,2
C0124,3
C0125,2
C0126,1
C0127,3
C0128,2
C0129,1
C0130,1
C0131,2
C0132,3
C0133,1
C0134,2
C0135,3
C0136,0
C0137,1
C0138,0
C0139,2
C0140,2
C0141,0
C0142,2
C0143,0
C0144,2
C0145,0
C0146,2
C0147,1
C0148,1
C0149,3
C0150,1
C0151,1
C0152,1
C0153,1
C0154,2
C0155,1
C0156,0
C0157,2
C0158,1
C0159,2
C0160,2
C0161,2
C0162,0
C0163,1
C0164,3
C0165,0
C0166,3
C0167,3
C0168,1
C0169,1
C0170,3
C0171,1
C0172,3
C0173,0
C0174,1
C0175,0
C0176,2
C0177,2
C0178,2
C0179,3
C0181,1
C0182,3
C0183,2
C0184,1
C0185,2
C0186,2
C0187,1
C0188,0
C0189,2
C0190,1
C0191,1
C0192,1
C0193,2
C0194,2
C0195,1
C0196,3
C0197,3
C0198,3
C0199,3
C0200,0
