CustomerID,Lookalikes
C0001,"[('C0121', 0.5519422220161184), ('C0050', 0.5101204744501912), ('C0140', 0.4693473337604939)]"
C0002,"[('C0030', 0.6636434182417789), ('C0091', 0.44194297409055094), ('C0173', 0.441229049889079)]"
C0003,"[('C0144', 0.6812800018814306), ('C0164', 0.6167169479103548), ('C0134', 0.5463263264364514)]"
C0004,"[('C0133', 0.6231116488092575), ('C0124', 0.4624858436069339), ('C0076', 0.43254034173694156)]"
C0005,"[('C0023', 0.5930860919526532), ('C0119', 0.5453113671569091), ('C0149', 0.40653313755985926)]"
C0006,"[('C0040', 0.5145039325674414), ('C0178', 0.47803166510880474), ('C0114', 0.4017676004963581)]"
C0007,"[('C0025', 0.6479712738221283), ('C0031', 0.6291687731586862), ('C0079', 0.6070602099514053)]"
C0008,"[('C0165', 0.4591411215893068), ('C0169', 0.4296841867019598), ('C0144', 0.39416802895708913)]"
C0009,"[('C0060', 0.5906049166760972), ('C0062', 0.5779169777403749), ('C0083', 0.5463117856680835)]"
C0010,"[('C0092', 0.7855528716509109), ('C0083', 0.6824160822440967), ('C0029', 0.5174074043553893)]"
C0011,"[('C0094', 0.548237068549825), ('C0120', 0.5041359887552018), ('C0135', 0.43240097666372446)]"
C0012,"[('C0164', 0.5183683325761089), ('C0066', 0.486135126830494), ('C0055', 0.4349532555994145)]"
C0013,"[('C0010', 0.46712746627782836), ('C0092', 0.454823753255616), ('C0040', 0.45166570704448594)]"
C0014,"[('C0128', 0.9251076991270136), ('C0159', 0.778023713069076), ('C0060', 0.43218612479738067)]"
C0015,"[('C0073', 0.8711357950502232), ('C0031', 0.6275226589167499), ('C0036', 0.5978837948787499)]"
C0016,"[('C0064', 0.7589422169678887), ('C0196', 0.6729256023611706), ('C0187', 0.6581861502456045)]"
C0017,"[('C0071', 0.5282927208629642), ('C0019', 0.42605231293870094), ('C0024', 0.4255480836222874)]"
C0018,"[('C0177', 0.5205589802547437), ('C0067', 0.4994929501997792), ('C0115', 0.4358332610932551)]"
C0019,"[('C0024', 0.5302359649972658), ('C0017', 0.42605231293870094), ('C0064', 0.36225418835646833)]"
C0020,"[('C0026', 0.7472845304228295), ('C0049', 0.5018647286437211), ('C0034', 0.47628658853475986)]"
